Year;Month;Day;match;home_team;away_team;home_score;away_score;tournament;city;country;latitude;longitude;neutral;Winner;Loser;SG;Brasil
1930;7;22;Argentina 3 x 1 Chile;Argentina;Chile;3;1;FIFA World Cup;Montevideo;Uruguay;;;TRUE;Argentina;Chile;2;#N/D
1930;7;26;Argentina 6 x 1 United States;Argentina;United States;6;1;FIFA World Cup;Montevideo;Uruguay;;;TRUE;Argentina;United States;5;#N/D
1930;7;27;Uruguay 6 x 1 Yugoslavia;Uruguay;Yugoslavia;6;1;FIFA World Cup;Montevideo;Uruguay;;;FALSE;Uruguay;Yugoslavia;5;#N/D
1930;7;30;Uruguay 4 x 2 Argentina;Uruguay;Argentina;4;2;FIFA World Cup;Montevideo;Uruguay;;;FALSE;Uruguay;Argentina;2;#N/D
1934;5;27;Argentina 2 x 3 Sweden;Argentina;Sweden;2;3;FIFA World Cup;Bologna;Italy;;;TRUE;Sweden;Argentina;1;#N/D
1934;5;27;Austria 3 x 2 France;Austria;France;3;2;FIFA World Cup;Turin;Italy;;;TRUE;Austria;France;1;#N/D
1934;5;27;Belgium 2 x 5 Germany;Belgium;Germany;2;5;FIFA World Cup;Florence;Italy;;;TRUE;Germany;Belgium;3;#N/D
1934;5;27;Brazil 1 x 3 Spain;Brazil;Spain;1;3;FIFA World Cup;Genoa;Italy;;;TRUE;Spain;Brazil;2;BR
1934;5;27;Czechoslovakia 2 x 1 Romania;Czechoslovakia;Romania;2;1;FIFA World Cup;Trieste;Italy;;;TRUE;Czechoslovakia;Romania;1;#N/D
1934;5;27;Egypt 2 x 4 Hungary;Egypt;Hungary;2;4;FIFA World Cup;Naples;Italy;;;TRUE;Hungary;Egypt;2;#N/D
1934;5;27;Italy 7 x 1 United States;Italy;United States;7;1;FIFA World Cup;Rome;Italy;;;FALSE;Italy;United States;6;#N/D
1934;5;27;Netherlands 2 x 3 Switzerland;Netherlands;Switzerland;2;3;FIFA World Cup;Milan;Italy;;;TRUE;Switzerland;Netherlands;1;#N/D
1934;5;31;Austria 2 x 1 Hungary;Austria;Hungary;2;1;FIFA World Cup;Bologna;Italy;;;TRUE;Austria;Hungary;1;#N/D
1934;5;31;Czechoslovakia 3 x 2 Switzerland;Czechoslovakia;Switzerland;3;2;FIFA World Cup;Turin;Italy;;;TRUE;Czechoslovakia;Switzerland;1;#N/D
1934;5;31;Germany 2 x 1 Sweden;Germany;Sweden;2;1;FIFA World Cup;Milan;Italy;;;TRUE;Germany;Sweden;1;#N/D
1934;5;31;Italy 1 x 1 Spain;Italy;Spain;1;1;FIFA World Cup;Florence;Italy;;;FALSE;Draw;Draw;0;#N/D
1934;6;1;Italy 1 x 0 Spain;Italy;Spain;1;0;FIFA World Cup;Florence;Italy;;;FALSE;Italy;Spain;1;#N/D
1934;6;3;Czechoslovakia 3 x 1 Germany;Czechoslovakia;Germany;3;1;FIFA World Cup;Rome;Italy;;;TRUE;Czechoslovakia;Germany;2;#N/D
1934;6;3;Italy 1 x 0 Austria;Italy;Austria;1;0;FIFA World Cup;Milan;Italy;;;FALSE;Italy;Austria;1;#N/D
1934;6;7;Austria 2 x 3 Germany;Austria;Germany;2;3;FIFA World Cup;Naples;Italy;;;TRUE;Germany;Austria;1;#N/D
1934;6;10;Italy 2 x 1 Czechoslovakia;Italy;Czechoslovakia;2;1;FIFA World Cup;Rome;Italy;;;FALSE;Italy;Czechoslovakia;1;#N/D
1938;6;4;Germany 1 x 1 Switzerland;Germany;Switzerland;1;1;FIFA World Cup;Paris;France;;;TRUE;Draw;Draw;0;#N/D
1938;6;5;Brazil 6 x 5 Poland;Brazil;Poland;6;5;FIFA World Cup;Strasbourg;France;;;TRUE;Brazil;Poland;1;BR
1938;6;5;Cuba 3 x 3 Romania;Cuba;Romania;3;3;FIFA World Cup;Toulouse;France;;;TRUE;Draw;Draw;0;#N/D
1938;6;5;Czechoslovakia 3 x 0 Netherlands;Czechoslovakia;Netherlands;3;0;FIFA World Cup;Le Havre;France;;;TRUE;Czechoslovakia;Netherlands;3;#N/D
1938;6;5;France 3 x 1 Belgium;France;Belgium;3;1;FIFA World Cup;Colombes;France;;;FALSE;France;Belgium;2;#N/D
1938;6;5;Hungary 6 x 0 Indonesia;Hungary;Indonesia;6;0;FIFA World Cup;Reims;France;;;TRUE;Hungary;Indonesia;6;#N/D
1938;6;5;Italy 2 x 1 Norway;Italy;Norway;2;1;FIFA World Cup;Marseille;France;;;TRUE;Italy;Norway;1;#N/D
1938;6;9;Cuba 2 x 1 Romania;Cuba;Romania;2;1;FIFA World Cup;Toulouse;France;;;TRUE;Cuba;Romania;1;#N/D
1938;6;9;Germany 2 x 4 Switzerland;Germany;Switzerland;2;4;FIFA World Cup;Paris;France;;;TRUE;Switzerland;Germany;2;#N/D
1938;6;12;Brazil 1 x 1 Czechoslovakia;Brazil;Czechoslovakia;1;1;FIFA World Cup;Bordeaux;France;;;TRUE;Draw;Draw;0;BR
1938;6;12;Cuba 0 x 8 Sweden;Cuba;Sweden;0;8;FIFA World Cup;Antibes;France;;;TRUE;Sweden;Cuba;8;#N/D
1938;6;12;France 1 x 3 Italy;France;Italy;1;3;FIFA World Cup;Colombes;France;;;FALSE;Italy;France;2;#N/D
1938;6;12;Hungary 2 x 0 Switzerland;Hungary;Switzerland;2;0;FIFA World Cup;Lille;France;;;TRUE;Hungary;Switzerland;2;#N/D
1938;6;14;Brazil 2 x 1 Czechoslovakia;Brazil;Czechoslovakia;2;1;FIFA World Cup;Bordeaux;France;;;TRUE;Brazil;Czechoslovakia;1;BR
1938;6;16;Brazil 1 x 2 Italy;Brazil;Italy;1;2;FIFA World Cup;Marseille;France;;;TRUE;Italy;Brazil;1;BR
1938;6;16;Hungary 5 x 1 Sweden;Hungary;Sweden;5;1;FIFA World Cup;Paris;France;;;TRUE;Hungary;Sweden;4;#N/D
1938;6;19;Brazil 4 x 2 Sweden;Brazil;Sweden;4;2;FIFA World Cup;Bordeaux;France;;;TRUE;Brazil;Sweden;2;BR
1938;6;19;Hungary 2 x 4 Italy;Hungary;Italy;2;4;FIFA World Cup;Colombes;France;;;TRUE;Italy;Hungary;2;#N/D
1950;6;24;Brazil 4 x 0 Mexico;Brazil;Mexico;4;0;FIFA World Cup;Rio de Janeiro;Brazil;;;FALSE;Brazil;Mexico;4;BR
1950;6;25;Chile 0 x 2 England;Chile;England;0;2;FIFA World Cup;Rio de Janeiro;Brazil;;;TRUE;England;Chile;2;#N/D
1950;6;25;Italy 2 x 3 Sweden;Italy;Sweden;2;3;FIFA World Cup;São Paulo;Brazil;;;TRUE;Sweden;Italy;1;#N/D
1950;6;25;Spain 3 x 1 United States;Spain;United States;3;1;FIFA World Cup;Curitiba;Brazil;;;TRUE;Spain;United States;2;#N/D
1950;6;25;Switzerland 0 x 3 Yugoslavia;Switzerland;Yugoslavia;0;3;FIFA World Cup;Belo Horizonte;Brazil;;;TRUE;Yugoslavia;Switzerland;3;#N/D
1950;6;28;Brazil 2 x 2 Switzerland;Brazil;Switzerland;2;2;FIFA World Cup;São Paulo;Brazil;;;FALSE;Draw;Draw;0;BR
1950;6;28;Mexico 1 x 4 Yugoslavia;Mexico;Yugoslavia;1;4;FIFA World Cup;Porto Alegre;Brazil;;;TRUE;Yugoslavia;Mexico;3;#N/D
1950;6;29;Chile 0 x 2 Spain;Chile;Spain;0;2;FIFA World Cup;Rio de Janeiro;Brazil;;;TRUE;Spain;Chile;2;#N/D
1950;6;29;England 0 x 1 United States;England;United States;0;1;FIFA World Cup;Belo Horizonte;Brazil;;;TRUE;United States;England;1;#N/D
1950;6;29;Paraguay 2 x 2 Sweden;Paraguay;Sweden;2;2;FIFA World Cup;Curitiba;Brazil;;;TRUE;Draw;Draw;0;#N/D
1950;7;1;Brazil 2 x 0 Yugoslavia;Brazil;Yugoslavia;2;0;FIFA World Cup;Rio de Janeiro;Brazil;;;FALSE;Brazil;Yugoslavia;2;BR
1950;7;2;Bolivia 0 x 8 Uruguay;Bolivia;Uruguay;0;8;FIFA World Cup;Belo Horizonte;Brazil;;;TRUE;Uruguay;Bolivia;8;#N/D
1950;7;2;Chile 5 x 2 United States;Chile;United States;5;2;FIFA World Cup;Recife;Brazil;;;TRUE;Chile;United States;3;#N/D
1950;7;2;England 0 x 1 Spain;England;Spain;0;1;FIFA World Cup;Rio de Janeiro;Brazil;;;TRUE;Spain;England;1;#N/D
1950;7;2;Italy 2 x 0 Paraguay;Italy;Paraguay;2;0;FIFA World Cup;São Paulo;Brazil;;;TRUE;Italy;Paraguay;2;#N/D
1950;7;2;Mexico 1 x 2 Switzerland;Mexico;Switzerland;1;2;FIFA World Cup;Porto Alegre;Brazil;;;TRUE;Switzerland;Mexico;1;#N/D
1950;7;9;Brazil 7 x 1 Sweden;Brazil;Sweden;7;1;FIFA World Cup;Rio de Janeiro;Brazil;;;FALSE;Brazil;Sweden;6;BR
1950;7;9;Spain 2 x 2 Uruguay;Spain;Uruguay;2;2;FIFA World Cup;São Paulo;Brazil;;;TRUE;Draw;Draw;0;#N/D
1950;7;13;Brazil 6 x 1 Spain;Brazil;Spain;6;1;FIFA World Cup;Rio de Janeiro;Brazil;;;FALSE;Brazil;Spain;5;BR
1950;7;13;Sweden 2 x 3 Uruguay;Sweden;Uruguay;2;3;FIFA World Cup;São Paulo;Brazil;;;TRUE;Uruguay;Sweden;1;#N/D
1950;7;16;Brazil 1 x 2 Uruguay;Brazil;Uruguay;1;2;FIFA World Cup;Rio de Janeiro;Brazil;;;FALSE;Uruguay;Brazil;1;BR
1950;7;16;Spain 1 x 3 Sweden;Spain;Sweden;1;3;FIFA World Cup;São Paulo;Brazil;;;TRUE;Sweden;Spain;2;#N/D
1954;6;16;Austria 1 x 0 Scotland;Austria;Scotland;1;0;FIFA World Cup;Zürich;Switzerland;;;TRUE;Austria;Scotland;1;#N/D
1954;6;16;Brazil 5 x 0 Mexico;Brazil;Mexico;5;0;FIFA World Cup;Geneva;Switzerland;;;TRUE;Brazil;Mexico;5;BR
1954;6;16;Czechoslovakia 0 x 2 Uruguay;Czechoslovakia;Uruguay;0;2;FIFA World Cup;Berne;Switzerland;;;TRUE;Uruguay;Czechoslovakia;2;#N/D
1954;6;16;France 0 x 1 Yugoslavia;France;Yugoslavia;0;1;FIFA World Cup;Lausanne;Switzerland;;;TRUE;Yugoslavia;France;1;#N/D
1954;6;17;Belgium 4 x 4 England;Belgium;England;4;4;FIFA World Cup;Basel;Switzerland;;;TRUE;Draw;Draw;0;#N/D
1954;6;17;Germany 4 x 1 Turkey;Germany;Turkey;4;1;FIFA World Cup;Berne;Switzerland;;;TRUE;Germany;Turkey;3;#N/D
1954;6;17;Hungary 9 x 0 South Korea;Hungary;South Korea;9;0;FIFA World Cup;Zürich;Switzerland;;;TRUE;Hungary;South Korea;9;#N/D
1954;6;17;Switzerland 2 x 1 Italy;Switzerland;Italy;2;1;FIFA World Cup;Lausanne;Switzerland;;;FALSE;Switzerland;Italy;1;#N/D
1954;6;19;Austria 5 x 0 Czechoslovakia;Austria;Czechoslovakia;5;0;FIFA World Cup;Zürich;Switzerland;;;TRUE;Austria;Czechoslovakia;5;#N/D
1954;6;19;Brazil 1 x 1 Yugoslavia;Brazil;Yugoslavia;1;1;FIFA World Cup;Lausanne;Switzerland;;;TRUE;Draw;Draw;0;BR
1954;6;19;France 3 x 2 Mexico;France;Mexico;3;2;FIFA World Cup;Geneva;Switzerland;;;TRUE;France;Mexico;1;#N/D
1954;6;19;Scotland 0 x 7 Uruguay;Scotland;Uruguay;0;7;FIFA World Cup;Basel;Switzerland;;;TRUE;Uruguay;Scotland;7;#N/D
1954;6;20;Belgium 1 x 4 Italy;Belgium;Italy;1;4;FIFA World Cup;Lugano;Switzerland;;;TRUE;Italy;Belgium;3;#N/D
1954;6;20;Germany 3 x 8 Hungary;Germany;Hungary;3;8;FIFA World Cup;Basel;Switzerland;;;TRUE;Hungary;Germany;5;#N/D
1954;6;20;South Korea 0 x 7 Turkey;South Korea;Turkey;0;7;FIFA World Cup;Geneva;Switzerland;;;TRUE;Turkey;South Korea;7;#N/D
1954;6;20;Switzerland 0 x 2 England;Switzerland;England;0;2;FIFA World Cup;Berne;Switzerland;;;FALSE;England;Switzerland;2;#N/D
1954;6;23;Germany 7 x 2 Turkey;Germany;Turkey;7;2;FIFA World Cup;Zürich;Switzerland;;;TRUE;Germany;Turkey;5;#N/D
1954;6;23;Switzerland 4 x 1 Italy;Switzerland;Italy;4;1;FIFA World Cup;Basel;Switzerland;;;FALSE;Switzerland;Italy;3;#N/D
1954;6;26;England 2 x 4 Uruguay;England;Uruguay;2;4;FIFA World Cup;Basel;Switzerland;;;TRUE;Uruguay;England;2;#N/D
1954;6;26;Switzerland 5 x 7 Austria;Switzerland;Austria;5;7;FIFA World Cup;Lausanne;Switzerland;;;FALSE;Austria;Switzerland;2;#N/D
1954;6;27;Brazil 2 x 4 Hungary;Brazil;Hungary;2;4;FIFA World Cup;Berne;Switzerland;;;TRUE;Hungary;Brazil;2;BR
1954;6;27;Germany 2 x 0 Yugoslavia;Germany;Yugoslavia;2;0;FIFA World Cup;Geneva;Switzerland;;;TRUE;Germany;Yugoslavia;2;#N/D
1954;6;30;Austria 1 x 6 Germany;Austria;Germany;1;6;FIFA World Cup;Basel;Switzerland;;;TRUE;Germany;Austria;5;#N/D
1954;6;30;Hungary 4 x 2 Uruguay;Hungary;Uruguay;4;2;FIFA World Cup;Lausanne;Switzerland;;;TRUE;Hungary;Uruguay;2;#N/D
1954;7;3;Austria 3 x 1 Uruguay;Austria;Uruguay;3;1;FIFA World Cup;Zürich;Switzerland;;;TRUE;Austria;Uruguay;2;#N/D
1954;7;4;Germany 3 x 2 Hungary;Germany;Hungary;3;2;FIFA World Cup;Berne;Switzerland;;;TRUE;Germany;Hungary;1;#N/D
1958;6;8;Argentina 1 x 3 Germany;Argentina;Germany;1;3;FIFA World Cup;Malmö;Sweden;;;TRUE;Germany;Argentina;2;#N/D
1958;6;8;Austria 0 x 3 Brazil;Austria;Brazil;0;3;FIFA World Cup;Uddevalla;Sweden;;;TRUE;Brazil;Austria;3;BR
1958;6;8;Czechoslovakia 0 x 1 Northern Ireland;Czechoslovakia;Northern Ireland;0;1;FIFA World Cup;Halmstad;Sweden;;;TRUE;Northern Ireland;Czechoslovakia;1;#N/D
1958;6;8;England 2 x 2 Russia;England;Russia;2;2;FIFA World Cup;Gothenburg;Sweden;;;TRUE;Draw;Draw;0;#N/D
1958;6;8;France 7 x 3 Paraguay;France;Paraguay;7;3;FIFA World Cup;Norrköping;Sweden;;;TRUE;France;Paraguay;4;#N/D
1958;6;8;Hungary 1 x 1 Wales;Hungary;Wales;1;1;FIFA World Cup;Sandviken;Sweden;;;TRUE;Draw;Draw;0;#N/D
1958;6;8;Scotland 1 x 1 Yugoslavia;Scotland;Yugoslavia;1;1;FIFA World Cup;Västerås;Sweden;;;TRUE;Draw;Draw;0;#N/D
1958;6;8;Sweden 3 x 0 Mexico;Sweden;Mexico;3;0;FIFA World Cup;Solna;Sweden;;;FALSE;Sweden;Mexico;3;#N/D
1958;6;11;Argentina 3 x 1 Northern Ireland;Argentina;Northern Ireland;3;1;FIFA World Cup;Halmstad;Sweden;;;TRUE;Argentina;Northern Ireland;2;#N/D
1958;6;11;Austria 0 x 2 Russia;Austria;Russia;0;2;FIFA World Cup;Borås;Sweden;;;TRUE;Russia;Austria;2;#N/D
1958;6;11;Brazil 0 x 0 England;Brazil;England;0;0;FIFA World Cup;Gothenburg;Sweden;;;TRUE;Draw;Draw;0;BR
1958;6;11;Czechoslovakia 2 x 2 Germany;Czechoslovakia;Germany;2;2;FIFA World Cup;Helsingborg;Sweden;;;TRUE;Draw;Draw;0;#N/D
1958;6;11;France 2 x 3 Yugoslavia;France;Yugoslavia;2;3;FIFA World Cup;Västerås;Sweden;;;TRUE;Yugoslavia;France;1;#N/D
1958;6;11;Mexico 1 x 1 Wales;Mexico;Wales;1;1;FIFA World Cup;Solna;Sweden;;;TRUE;Draw;Draw;0;#N/D
1958;6;11;Paraguay 3 x 2 Scotland;Paraguay;Scotland;3;2;FIFA World Cup;Norrköping;Sweden;;;TRUE;Paraguay;Scotland;1;#N/D
1958;6;12;Sweden 2 x 1 Hungary;Sweden;Hungary;2;1;FIFA World Cup;Solna;Sweden;;;FALSE;Sweden;Hungary;1;#N/D
1958;6;15;Argentina 1 x 6 Czechoslovakia;Argentina;Czechoslovakia;1;6;FIFA World Cup;Helsingborg;Sweden;;;TRUE;Czechoslovakia;Argentina;5;#N/D
1958;6;15;Austria 2 x 2 England;Austria;England;2;2;FIFA World Cup;Borås;Sweden;;;TRUE;Draw;Draw;0;#N/D
1958;6;15;Brazil 2 x 0 Russia;Brazil;Russia;2;0;FIFA World Cup;Gothenburg;Sweden;;;TRUE;Brazil;Russia;2;BR
1958;6;15;France 2 x 1 Scotland;France;Scotland;2;1;FIFA World Cup;Örebro;Sweden;;;TRUE;France;Scotland;1;#N/D
1958;6;15;Germany 2 x 2 Northern Ireland;Germany;Northern Ireland;2;2;FIFA World Cup;Malmö;Sweden;;;TRUE;Draw;Draw;0;#N/D
1958;6;15;Hungary 4 x 0 Mexico;Hungary;Mexico;4;0;FIFA World Cup;Sandviken;Sweden;;;TRUE;Hungary;Mexico;4;#N/D
1958;6;15;Paraguay 3 x 3 Yugoslavia;Paraguay;Yugoslavia;3;3;FIFA World Cup;Eskilstuna;Sweden;;;TRUE;Draw;Draw;0;#N/D
1958;6;15;Sweden 0 x 0 Wales;Sweden;Wales;0;0;FIFA World Cup;Solna;Sweden;;;FALSE;Draw;Draw;0;#N/D
1958;6;17;Czechoslovakia 1 x 2 Northern Ireland;Czechoslovakia;Northern Ireland;1;2;FIFA World Cup;Malmö;Sweden;;;TRUE;Northern Ireland;Czechoslovakia;1;#N/D
1958;6;17;England 0 x 1 Russia;England;Russia;0;1;FIFA World Cup;Gothenburg;Sweden;;;TRUE;Russia;England;1;#N/D
1958;6;17;Hungary 1 x 2 Wales;Hungary;Wales;1;2;FIFA World Cup;Solna;Sweden;;;TRUE;Wales;Hungary;1;#N/D
1958;6;19;Brazil 1 x 0 Wales;Brazil;Wales;1;0;FIFA World Cup;Gothenburg;Sweden;;;TRUE;Brazil;Wales;1;BR
1958;6;19;France 4 x 0 Northern Ireland;France;Northern Ireland;4;0;FIFA World Cup;Norrköping;Sweden;;;TRUE;France;Northern Ireland;4;#N/D
1958;6;19;Germany 1 x 0 Yugoslavia;Germany;Yugoslavia;1;0;FIFA World Cup;Malmö;Sweden;;;TRUE;Germany;Yugoslavia;1;#N/D
1958;6;19;Sweden 2 x 0 Russia;Sweden;Russia;2;0;FIFA World Cup;Solna;Sweden;;;FALSE;Sweden;Russia;2;#N/D
1958;6;24;Brazil 5 x 2 France;Brazil;France;5;2;FIFA World Cup;Solna;Sweden;;;TRUE;Brazil;France;3;BR
1958;6;24;Sweden 3 x 1 Germany;Sweden;Germany;3;1;FIFA World Cup;Gothenburg;Sweden;;;FALSE;Sweden;Germany;2;#N/D
1958;6;28;France 6 x 3 Germany;France;Germany;6;3;FIFA World Cup;Gothenburg;Sweden;;;TRUE;France;Germany;3;#N/D
1958;6;29;Sweden 2 x 5 Brazil;Sweden;Brazil;2;5;FIFA World Cup;Solna;Sweden;;;FALSE;Brazil;Sweden;3;BR
1962;5;30;Argentina 1 x 0 Bulgaria;Argentina;Bulgaria;1;0;FIFA World Cup;Rancagua;Chile;;;TRUE;Argentina;Bulgaria;1;#N/D
1962;5;30;Brazil 2 x 0 Mexico;Brazil;Mexico;2;0;FIFA World Cup;Viña del Mar;Chile;;;TRUE;Brazil;Mexico;2;BR
1962;5;30;Chile 3 x 1 Switzerland;Chile;Switzerland;3;1;FIFA World Cup;Santiago;Chile;;;FALSE;Chile;Switzerland;2;#N/D
1962;5;30;Colombia 1 x 2 Uruguay;Colombia;Uruguay;1;2;FIFA World Cup;Arica;Chile;;;TRUE;Uruguay;Colombia;1;#N/D
1962;5;31;Czechoslovakia 1 x 0 Spain;Czechoslovakia;Spain;1;0;FIFA World Cup;Viña del Mar;Chile;;;TRUE;Czechoslovakia;Spain;1;#N/D
1962;5;31;England 1 x 2 Hungary;England;Hungary;1;2;FIFA World Cup;Rancagua;Chile;;;TRUE;Hungary;England;1;#N/D
1962;5;31;Germany 0 x 0 Italy;Germany;Italy;0;0;FIFA World Cup;Santiago;Chile;;;TRUE;Draw;Draw;0;#N/D
1962;5;31;Russia 2 x 0 Yugoslavia;Russia;Yugoslavia;2;0;FIFA World Cup;Arica;Chile;;;TRUE;Russia;Yugoslavia;2;#N/D
1962;6;2;Argentina 1 x 3 England;Argentina;England;1;3;FIFA World Cup;Rancagua;Chile;;;TRUE;England;Argentina;2;#N/D
1962;6;2;Brazil 0 x 0 Czechoslovakia;Brazil;Czechoslovakia;0;0;FIFA World Cup;Viña del Mar;Chile;;;TRUE;Draw;Draw;0;BR
1962;6;2;Chile 2 x 0 Italy;Chile;Italy;2;0;FIFA World Cup;Santiago;Chile;;;FALSE;Chile;Italy;2;#N/D
1962;6;2;Uruguay 1 x 3 Yugoslavia;Uruguay;Yugoslavia;1;3;FIFA World Cup;Arica;Chile;;;TRUE;Yugoslavia;Uruguay;2;#N/D
1962;6;3;Bulgaria 1 x 6 Hungary;Bulgaria;Hungary;1;6;FIFA World Cup;Rancagua;Chile;;;TRUE;Hungary;Bulgaria;5;#N/D
1962;6;3;Colombia 4 x 4 Russia;Colombia;Russia;4;4;FIFA World Cup;Arica;Chile;;;TRUE;Draw;Draw;0;#N/D
1962;6;3;Germany 2 x 1 Switzerland;Germany;Switzerland;2;1;FIFA World Cup;Santiago;Chile;;;TRUE;Germany;Switzerland;1;#N/D
1962;6;3;Mexico 0 x 1 Spain;Mexico;Spain;0;1;FIFA World Cup;Viña del Mar;Chile;;;TRUE;Spain;Mexico;1;#N/D
1962;6;6;Argentina 0 x 0 Hungary;Argentina;Hungary;0;0;FIFA World Cup;Rancagua;Chile;;;TRUE;Draw;Draw;0;#N/D
1962;6;6;Brazil 2 x 1 Spain;Brazil;Spain;2;1;FIFA World Cup;Viña del Mar;Chile;;;TRUE;Brazil;Spain;1;BR
1962;6;6;Chile 0 x 2 Germany;Chile;Germany;0;2;FIFA World Cup;Santiago;Chile;;;FALSE;Germany;Chile;2;#N/D
1962;6;6;Russia 2 x 1 Uruguay;Russia;Uruguay;2;1;FIFA World Cup;Arica;Chile;;;TRUE;Russia;Uruguay;1;#N/D
1962;6;7;Bulgaria 0 x 0 England;Bulgaria;England;0;0;FIFA World Cup;Rancagua;Chile;;;TRUE;Draw;Draw;0;#N/D
1962;6;7;Colombia 0 x 5 Yugoslavia;Colombia;Yugoslavia;0;5;FIFA World Cup;Arica;Chile;;;TRUE;Yugoslavia;Colombia;5;#N/D
1962;6;7;Czechoslovakia 1 x 3 Mexico;Czechoslovakia;Mexico;1;3;FIFA World Cup;Viña del Mar;Chile;;;TRUE;Mexico;Czechoslovakia;2;#N/D
1962;6;7;Italy 3 x 0 Switzerland;Italy;Switzerland;3;0;FIFA World Cup;Santiago;Chile;;;TRUE;Italy;Switzerland;3;#N/D
1962;6;10;Brazil 3 x 1 England;Brazil;England;3;1;FIFA World Cup;Viña del Mar;Chile;;;TRUE;Brazil;England;2;BR
1962;6;10;Chile 2 x 1 Russia;Chile;Russia;2;1;FIFA World Cup;Arica;Chile;;;FALSE;Chile;Russia;1;#N/D
1962;6;10;Czechoslovakia 1 x 0 Hungary;Czechoslovakia;Hungary;1;0;FIFA World Cup;Rancagua;Chile;;;TRUE;Czechoslovakia;Hungary;1;#N/D
1962;6;10;Germany 0 x 1 Yugoslavia;Germany;Yugoslavia;0;1;FIFA World Cup;Santiago;Chile;;;TRUE;Yugoslavia;Germany;1;#N/D
1962;6;13;Chile 2 x 4 Brazil;Chile;Brazil;2;4;FIFA World Cup;Santiago;Chile;;;FALSE;Brazil;Chile;2;BR
1962;6;13;Czechoslovakia 3 x 1 Yugoslavia;Czechoslovakia;Yugoslavia;3;1;FIFA World Cup;Viña del Mar;Chile;;;TRUE;Czechoslovakia;Yugoslavia;2;#N/D
1962;6;16;Chile 1 x 0 Yugoslavia;Chile;Yugoslavia;1;0;FIFA World Cup;Santiago;Chile;;;FALSE;Chile;Yugoslavia;1;#N/D
1962;6;17;Brazil 3 x 1 Czechoslovakia;Brazil;Czechoslovakia;3;1;FIFA World Cup;Santiago;Chile;;;TRUE;Brazil;Czechoslovakia;2;BR
1966;7;11;England 0 x 0 Uruguay;England;Uruguay;0;0;FIFA World Cup;London;England;;;FALSE;Draw;Draw;0;#N/D
1966;7;12;Brazil 2 x 0 Bulgaria;Brazil;Bulgaria;2;0;FIFA World Cup;Liverpool;England;;;TRUE;Brazil;Bulgaria;2;BR
1966;7;12;Germany 5 x 0 Switzerland;Germany;Switzerland;5;0;FIFA World Cup;Sheffield;England;;;TRUE;Germany;Switzerland;5;#N/D
1966;7;12;North Korea 0 x 3 Russia;North Korea;Russia;0;3;FIFA World Cup;Middlesbrough;England;;;TRUE;Russia;North Korea;3;#N/D
1966;7;13;Argentina 2 x 1 Spain;Argentina;Spain;2;1;FIFA World Cup;Birmingham;England;;;TRUE;Argentina;Spain;1;#N/D
1966;7;13;Chile 0 x 2 Italy;Chile;Italy;0;2;FIFA World Cup;Sunderland;England;;;TRUE;Italy;Chile;2;#N/D
